   -0.200077150499575E-06   -0.261910069895196E-06    0.177956347692050E-07
    0.103898544212217E-06    0.784015543658583E-07    0.755604126704305E-07
         1         1         1
    0.108361346668581E-04   -0.137429465992892E-04    0.134184513498016E-04
    0.594899189122745E-05   -0.219393647802918E-04   -0.915398668390423E-05
    0.160658645398553E-04    0.161105401715849E-04    0.163552913875041E-04
         2         1         1
    0.904946734048707E-06   -0.863918430947378E-05    0.161525301011644E-05
    0.407812497020075E-05   -0.278981907966417E-04    0.193566239154557E-04
    0.160799010305046E-04    0.161368831056182E-04    0.162293457404752E-04
         3         1         1
    0.409687669958999E-05   -0.278283673336835E-05    0.129652820475558E-04
   -0.141894887368878E-05    0.115912859336708E-04   -0.842691110712702E-05
    0.160813192819457E-04    0.162742012405454E-04    0.159307709579023E-04
         4         1         1
   -0.101097558593738E-05    0.719059163817026E-05    0.136330636999921E-04
    0.364843545880542E-04   -0.258959438979269E-04   -0.842709327524225E-06
    0.161214164860591E-04    0.162837960397920E-04    0.160138742420489E-04
         1         2         1
    0.112281900708303E-04   -0.102455739484576E-04   -0.112925703363851E-04
   -0.498015544387182E-05    0.537467855606793E-06    0.276920581982147E-05
    0.159683775101199E-04    0.161037267046385E-04    0.162009650139836E-04
         2         2         1
   -0.795377363118193E-05    0.115589239014803E-04   -0.360875473378262E-05
    0.433188997594809E-04   -0.823528180771147E-05   -0.156334683171462E-04
    0.160878070268880E-04    0.161148256886777E-04    0.160711493118133E-04
         3         2         1
    0.357112987995633E-06    0.328491323414579E-05   -0.759806479315521E-05
    0.113727321231450E-04    0.259439311628933E-04    0.111289233590325E-04
    0.160019713938041E-04    0.159885922679918E-04    0.158712340990380E-04
         4         2         1
    0.129479475321889E-04   -0.124556438507772E-05   -0.134198245379214E-04
   -0.595790491599252E-05    0.335348804721032E-04   -0.110857064649252E-04
    0.162450350975971E-04    0.160214786697884E-04    0.159584425692670E-04
         1         3         1
   -0.491652444511155E-05   -0.253834736149272E-04   -0.241585023442534E-04
    0.319483909070187E-04   -0.412952680147342E-05    0.301587106994396E-04
    0.159710733204340E-04    0.160741582445435E-04    0.162651051399672E-04
         2         3         1
   -0.148152035374735E-04   -0.121439601898539E-04   -0.241323104691872E-04
    0.586074683917470E-04   -0.103072796510611E-04    0.590737848734385E-04
    0.159390824312872E-04    0.162107124034052E-04    0.161489599352065E-04
         3         3         1
   -0.650727751877738E-05   -0.515855662550752E-05   -0.151580904387710E-04
    0.353783750659975E-04    0.107592570423135E-04    0.371004729991134E-04
    0.162592307473129E-04    0.161250197268520E-04    0.159359724350821E-04
         4         3         1
    0.120236657890125E-06   -0.191821751327255E-05    0.985305862390966E-06
    0.393835632678290E-04    0.295398250110957E-04   -0.225004971505150E-04
    0.162152418460961E-04    0.160362288866731E-04    0.160188029672051E-04
         1         4         1
   -0.446309484608520E-05   -0.286667459962736E-04   -0.865846361295334E-05
    0.182360339445069E-04    0.197116423171310E-04   -0.255288538499719E-04
    0.160397076798115E-04    0.160772983098412E-04    0.164071095879669E-04
         2         4         1
    0.691269178341344E-05    0.379312441098312E-05    0.301739572766891E-06
   -0.106820860427578E-04   -0.451990736900703E-05    0.353193418895212E-04
    0.159082529147034E-04    0.160507232084010E-04    0.162786771705863E-04
         3         4         1
    0.711844769888821E-05   -0.251359085130052E-05    0.591080504172962E-05
   -0.348037331241138E-04    0.111282995946533E-04    0.299349763230964E-04
    0.163130171767688E-04    0.160187869558439E-04    0.159681972152735E-04
         4         4         1
    0.122559953958035E-05   -0.333032676763263E-05   -0.121567911777809E-05
    0.159140851361187E-04    0.239521929515163E-06   -0.194100036759838E-05
    0.160601326260453E-04    0.160850777234174E-04    0.160512618043195E-04
         1         1         2
    0.812905299895764E-05    0.569458933164176E-05    0.848287283442352E-05
   -0.355610636527200E-04    0.708062219360319E-05    0.134278580872450E-04
    0.158917605224297E-04    0.159835803833436E-04    0.159702046171718E-04
         2         1         2
    0.112200765307240E-06   -0.226898329817959E-06    0.293457306379202E-06
   -0.125822179539867E-04   -0.138005956134178E-04    0.137892063091323E-04
    0.160565195706971E-04    0.162627358609160E-04    0.161133988090056E-04
         3         1         2
   -0.111893878314407E-04   -0.155797832565796E-04    0.133599138911776E-04
    0.148396321325956E-04    0.215874799903715E-04    0.852357043810015E-05
    0.160474407174708E-04    0.162479169073360E-04    0.162034472788942E-04
         4         1         2
   -0.154254730733314E-05   -0.940692341221648E-05    0.807269736413549E-05
    0.439875544623866E-05    0.204031573017538E-05    0.221152152133172E-04
    0.162680761888741E-04    0.160303112443547E-04    0.160103337140675E-04
         1         2         2
    0.228705431522298E-05    0.820829213479272E-05   -0.757831285155114E-05
    0.173736120049748E-05    0.241948080116970E-04   -0.378579027154493E-05
    0.159476469799482E-04    0.160043715086418E-04    0.160825685917658E-04
         2         2         2
   -0.627255848733285E-05    0.495700404059288E-05   -0.272911578083459E-05
    0.981600472757827E-05    0.335693707791180E-04   -0.467470752500578E-05
    0.159135748874106E-04    0.162179049036854E-04    0.160946075237734E-04
         3         2         2
   -0.672593365214348E-05   -0.756776537737935E-05   -0.105167827861655E-04
    0.385103307624492E-05    0.444550117828834E-04    0.254721885382580E-04
    0.160119547813210E-04    0.160836125197778E-04    0.162871776296770E-04
         4         2         2
    0.176583595473252E-06   -0.469490994373294E-05    0.436117104171136E-05
   -0.832447164624883E-05    0.297570813872645E-04   -0.183417032523190E-04
    0.165044700695120E-04    0.159304318622273E-04    0.162318327699747E-04
         1         3         2
    0.100111574058680E-04    0.138463678647059E-04    0.158369487394104E-05
    0.183977320131854E-04    0.933808223230901E-05   -0.856826726039437E-05
