    0.144553933022094E-01    0.146665135851462E-01    0.157600203612240E-01
   -0.168159921296365E-03   -0.140585271058667E-03   -0.306758188662170E-03
         1         1         1
    0.325880214675420E-01    0.318672723125888E-01    0.305694510095474E-01
    0.622054645788130E-02    0.509901190369322E-02    0.165879505980285E-02
   -0.116953712252400E-03   -0.992905312561808E-04    0.219281254792105E-03
         2         1         1
    0.323836282403361E-01    0.286666884568415E-01    0.310176333532512E-01
    0.335489156380525E-02    0.408474445794198E-02    0.724685622133582E-02
   -0.219861252824338E-03   -0.221396899462532E-03    0.138291143868527E-03
         3         1         1
    0.331393830761122E-01    0.302407932838966E-01    0.318777999365277E-01
    0.474415371201412E-02    0.317648327044375E-02    0.510687989498098E-02
    0.202770985968213E-03    0.268557715308245E-03   -0.924119872287496E-04
         4         1         1
    0.316223814274518E-01    0.310670036656865E-01    0.310127379970483E-01
    0.590442127515882E-02    0.331970173201271E-02    0.528342711241220E-02
    0.103782084608302E-03    0.401654566338522E-03   -0.372696566473596E-04
         1         2         1
    0.298383949717871E-01    0.296171100236651E-01    0.328964316142979E-01
    0.623463111208547E-02    0.788174430334259E-02    0.828510310468094E-02
   -0.110991517952544E-03   -0.735961133293406E-04    0.153553036671164E-03
         2         2         1
    0.307755827433934E-01    0.289948342254371E-01    0.312157923994311E-01
    0.571085370801936E-02    0.503079356853458E-02    0.636820874509704E-02
   -0.188822749277772E-03   -0.226949353628379E-04   -0.622017052333344E-04
         3         2         1
    0.312551594517446E-01    0.306750331759678E-01    0.314092510611175E-01
    0.509968983754551E-02    0.359064035896498E-02    0.565623311084637E-02
    0.128331488104294E-03   -0.260451821626142E-04   -0.324630024097202E-03
         4         2         1
    0.305778815804243E-01    0.310957778368641E-01    0.318252004135066E-01
    0.356737734951529E-02    0.677750503447117E-02    0.624891584460232E-02
    0.335600698132853E-04   -0.746991025842629E-04   -0.769725529320046E-04
         1         3         1
    0.318550306458389E-01    0.307523829876648E-01    0.298832445161335E-01
    0.819895936216378E-02    0.523797164976016E-02    0.562220553981847E-02
   -0.377107856828449E-03    0.462136948975254E-04    0.541101011158334E-04
         2         3         1
    0.312201813518442E-01    0.290782271679154E-01    0.295866172075716E-01
    0.826697643471805E-02    0.457163059331280E-02    0.472357831329023E-02
   -0.112487806342153E-03    0.104795070844109E-03    0.100006216693177E-03
         3         3         1
    0.320990114658427E-01    0.305101367941382E-01    0.323941226521455E-01
    0.839067105375725E-02    0.270101886963261E-02    0.429957622933845E-02
    0.143645345468240E-03    0.107105463237552E-03    0.104427310793922E-03
         4         3         1
    0.299595008669706E-01    0.295136455992011E-01    0.291699683092210E-01
    0.805119418386891E-02    0.593979427558578E-02    0.577500102185845E-02
    0.348934508755450E-03    0.470061152167798E-04    0.715658504674085E-04
         1         4         1
    0.308142350457181E-01    0.306058790069358E-01    0.322753073695454E-01
    0.394909882646976E-02    0.411835321984716E-02    0.648638333918986E-02
   -0.436755690681723E-03   -0.285953991049261E-03    0.122809763429141E-03
         2         4         1
    0.308418959582693E-01    0.299652231421955E-01    0.348822200799147E-01
    0.541279486040378E-02    0.190892483706008E-02    0.624408430948384E-02
   -0.180470053478834E-03   -0.303406472710056E-03    0.272478246436469E-03
         3         4         1
    0.311397118421623E-01    0.303144731202411E-01    0.342584747764854E-01
    0.434744757382822E-02    0.284043716728009E-02    0.716061042113995E-02
    0.174288645525349E-03    0.223262329293516E-04    0.371390935794211E-03
         4         4         1
    0.316960343805042E-01    0.325522083671751E-01    0.317560758906018E-01
    0.179377080024921E-02    0.225673572934567E-02    0.145806520084234E-02
    0.358618430141895E-03    0.470039679200445E-04    0.721870528189237E-04
         1         1         2
    0.343443749180177E-01    0.299270466686510E-01    0.281298299036219E-01
    0.630729916808267E-02    0.437408597384938E-02    0.479000037514624E-02
    0.174890950646988E-04   -0.305271057907823E-03   -0.698547541045964E-04
         2         1         2
    0.332644109563864E-01    0.289897808384689E-01    0.305707186145928E-01
    0.625765076873829E-02    0.318618651147744E-02    0.663002380347718E-02
   -0.208194693177728E-03   -0.314892506010945E-03   -0.126247828830964E-05
         3         1         2
    0.325887321600167E-01    0.298989554266985E-01    0.308932619668975E-01
    0.751581269093455E-02    0.386729346832177E-02    0.519880184449740E-02
    0.979389575273267E-04    0.510600578768648E-04    0.729687672867118E-05
         4         1         2
    0.334410982229130E-01    0.313930294277784E-01    0.312364607645595E-01
    0.683716984914245E-02    0.627784184880269E-02    0.131552786055772E-02
   -0.573027625806520E-04    0.693720016384190E-04   -0.886425812765088E-04
         1         2         2
    0.318404893968408E-01    0.289827751049292E-01    0.316227702580696E-01
    0.302926582401153E-02    0.568711891715858E-02    0.843773721649399E-02
    0.281917227446063E-03    0.135282855419404E-03   -0.105742619136550E-03
         2         2         2
    0.324926347483007E-01    0.308882844106499E-01    0.329247099899430E-01
    0.591768905681323E-02    0.233613014858103E-02    0.413228886822248E-02
   -0.370020860575704E-04    0.554712318601202E-04    0.812016065081004E-04
         3         2         2
    0.302780215335369E-01    0.304782576088483E-01    0.308907777539803E-01
    0.546659581923770E-02    0.439541431964933E-02    0.510887317827887E-02
    0.179394912184920E-04    0.175413150635678E-03    0.665645127892009E-04
         4         2         2
    0.312639332153741E-01    0.311291287456268E-01    0.319358971374863E-01
    0.536068511409536E-02    0.512758227213903E-02    0.413884975934954E-02
   -0.868136218517799E-04    0.255643166829858E-03   -0.825620498297297E-04
         1         3         2
    0.273748396680028E-01    0.283194535876513E-01    0.282906940801156E-01
    0.561431299685035E-02    0.717703078755499E-02    0.812313616029407E-02
    0.124704567141707E-03   -0.279024934431418E-03   -0.218587495308561E-03
         2         3         2
    0.295779822481339E-01    0.295498071377016E-01    0.303762475878875E-01
    0.519556775468189E-02    0.339687197077960E-02    0.486625151904076E-02
   -0.489554369440966E-04   -0.823869960926205E-04   -0.760329209689305E-04
         3         3         2
    0.284865750431269E-01    0.307474526200868E-01    0.310667080166822E-01
    0.226689136254068E-02    0.427354770550694E-02    0.947269928106909E-02
   -0.955266386087690E-04   -0.759241440251945E-04   -0.134092534972703E-03
         4         3         2
    0.297869398534157E-01    0.316213931871550E-01    0.303794706995688E-01
    0.131404424395164E-02    0.559985219201564E-02    0.638196861852086E-02
    0.174316298592477E-03   -0.272165039369704E-03   -0.240408064380979E-03
         1         4         2
    0.282475364441515E-01    0.284462935688948E-01    0.314532243892841E-01
    0.932503180610238E-02    0.518692371225978E-02    0.393624325388081E-02
   -0.185931857660794E-03    0.121709675105096E-03   -0.163048721749928E-03
         2         4         2
    0.301766608294398E-01    0.290265697773391E-01    0.354832769964529E-01
    0.605791453482803E-02    0.375128188024610E-02    0.469552462365672E-02
   -0.247373788301715E-03    0.361962383459285E-03   -0.173825487535494E-03
         3         4         2
    0.299123547393653E-01    0.305867369764838E-01    0.341904940271461E-01
    0.475489617356215E-02    0.417044302712483E-02    0.695510960815486E-02
   -0.482426963335742E-04    0.531704011829493E-03   -0.147775645450462E-03
         4         4         2
    0.299767787909663E-01    0.300091862315095E-01    0.296947749747638E-01
    0.611137905540149E-02    0.827698817237761E-02    0.110637400242899E-02
    0.152129085782430E-03    0.300120449580631E-03   -0.270742674579173E-03
         1         1         3
    0.312061526464181E-01    0.310742706990341E-01    0.302402351276215E-01
    0.481346520496228E-02    0.255448110482577E-02    0.237493618471001E-02
    0.236607424021781E-03   -0.106133032909792E-03   -0.387658149026867E-03
         2         1         3
    0.311485914065732E-01    0.285394268598134E-01    0.310209322459138E-01
    0.216618891275695E-02    0.824367990229932E-03    0.606254305230680E-02
    0.842602874574753E-04    0.113160112291505E-03   -0.304674263591991E-03
         3         1         3
    0.296471914808922E-01    0.294812973418706E-01    0.309741179413479E-01
    0.665216347525742E-02    0.529424565265405E-02    0.319358507462746E-02
    0.980387212064798E-04    0.118052799975267E-03    0.152233465717130E-03
         4         1         3
    0.299030566414856E-01    0.312795673758159E-01    0.299199203964021E-01
    0.578847269441627E-02    0.506263289080359E-02    0.720358166485533E-02
   -0.173162271402508E-03   -0.131531569827648E-03    0.380315990866326E-04
         1         2         3
    0.304977285086717E-01    0.311160754604931E-01    0.329016909688034E-01
    0.359707118488061E-02    0.398284577199821E-02    0.924058510812355E-02
    0.918230999337882E-04    0.412859007601844E-05   -0.690528915399671E-03
         2         2         3
    0.310578606144270E-01    0.289656536295244E-01    0.322782495171158E-01
    0.402625298779736E-02    0.281006442944742E-02    0.340847679163445E-02
    0.152351941179292E-03    0.368806660826788E-05   -0.768978166423023E-03
         3         2         3
    0.296831949251587E-01    0.312138993012089E-01    0.309350603301131E-01
    0.556567135585421E-02    0.344975228669670E-02    0.402166059360679E-02
    0.277334757213999E-03    0.140292167368953E-03   -0.275353484658948E-03
         4         2         3
    0.302441385575589E-01    0.311147104641878E-01    0.310682196848512E-01
    0.259489525335818E-02    0.763634920297621E-02    0.632519494386879E-02
   -0.101470999140273E-03    0.104430488279236E-03   -0.160806254958977E-03
         1         3         3
    0.280836982132586E-01    0.309131683815741E-01    0.305469589172629E-01
    0.828412079029772E-02    0.408126580178111E-02    0.475009121735909E-02
    0.737277576091947E-04   -0.131712577384723E-03    0.190613165590328E-04
         2         3         3
