   -0.824604505484572E+00   -0.225061928952768E+01    0.142601478404311E+01
    0.127345324707608E-01    0.137471362936503E-01    0.153499068076424E-01
   -0.266542106297500E-03    0.278939369341079E-03    0.231751973918947E-03
         1         1         1
   -0.261503433518019E-01    0.298702139998946E-01    0.326194231239018E-01
   -0.592844860268826E-02    0.168809418720377E-03    0.118798751401120E-01
   -0.124602452974132E-02   -0.172068115998531E-02    0.514715812939716E-02
         2         1         1
   -0.282478306606285E-01    0.312855689683156E-01    0.352945833973112E-01
   -0.171855980573876E-01    0.596923395869187E-02    0.903981618464038E-02
   -0.746454055966207E-02   -0.314312744016767E-02   -0.881415354397113E-03
         3         1         1
   -0.264896238830742E-01    0.174961185625551E-01    0.349093761523131E-01
    0.403392491540536E-02    0.300629580980202E-02    0.740391980245186E-02
    0.278782312045678E-02   -0.447450205102298E-02   -0.494944916460369E-02
         4         1         1
   -0.294566526366408E-01    0.340094311694855E-01    0.396391172228086E-01
   -0.766490164745993E-02   -0.141456097109658E-02    0.147071158895331E-01
    0.272128559148985E-02    0.183492184113269E-02   -0.347449094554939E-02
         5         1         1
   -0.261449086282940E-01   -0.413021428739913E-01    0.350780316038325E-01
   -0.644286667387475E-02   -0.476099830172634E-02    0.712479805359989E-03
    0.578457017177890E-02    0.147904886266043E-01   -0.832162707701366E-03
         6         1         1
   -0.248340399632140E-01   -0.256000942096673E-01    0.323583501762506E-01
    0.729225959346275E-02    0.429857534594905E-02    0.356843968742916E-02
   -0.390464580132149E-02   -0.795480775886519E-03    0.213658727975472E-02
         7         1         1
   -0.320288962193035E-01   -0.328967966849531E-01    0.313585292189189E-01
   -0.768535405814817E-02    0.276748829197301E-02   -0.965754079080774E-03
   -0.684437908993582E-02    0.612024260219409E-02    0.243005081238857E-02
         8         1         1
   -0.301803075546110E-01    0.178209728417859E-01    0.379930362811457E-01
   -0.958505445610373E-02    0.431914785463838E-02   -0.800115641117728E-02
   -0.186028601327976E-02    0.815214594787750E-02   -0.603980526564456E-02
         9         1         1
   -0.414431220409842E-01    0.335415971408964E-01    0.216782186789301E-01
   -0.702333186143306E-02    0.118311200748956E-02   -0.572635090998964E-03
   -0.107502015680801E-01    0.746652468120940E-03    0.537747247686302E-03
        10         1         1
   -0.351197154774274E-01    0.215391457132166E-01    0.283458498386435E-01
   -0.133061159030527E-01    0.284524858512546E-02    0.911522226488087E-03
   -0.180109104515376E-02   -0.911616085023903E-02    0.654312711126340E-02
         1         2         1
   -0.342737624439131E-01    0.176693678880993E-01    0.304920855498966E-01
   -0.403136761675281E-02    0.600078553910424E-03   -0.419994301404234E-03
    0.959214389545568E-02   -0.141297897296960E-02    0.147648119412915E-01
         2         2         1
   -0.352251199681217E-01    0.362702408321789E-01    0.307515433353528E-01
   -0.184114131722282E-01    0.643794726454719E-02    0.140821647970259E-01
   -0.814824143935878E-04   -0.214994764830059E-02    0.624624335869109E-02
         3         2         1
   -0.216633908967960E-01    0.301038872689163E-01    0.376181371262257E-01
   -0.135213739112583E-01    0.151175824939421E-01    0.110156036176041E-01
   -0.572782037860795E-03   -0.918056282751802E-02    0.427875912467155E-02
         4         2         1
   -0.262552016828323E-01    0.267028986129446E-01    0.324538273649030E-01
    0.752507859563815E-03    0.160219034369918E-01    0.135895193603403E-01
    0.401623012303806E-02   -0.922263167685183E-02   -0.401063182064703E-02
         5         2         1
   -0.285421398673212E-01   -0.310621646004348E-01    0.335236101091283E-01
   -0.897978821220772E-02   -0.462431418005236E-02   -0.214397477387556E-03
    0.542506161063618E-02    0.101038072099128E-01    0.509702542118565E-02
         6         2         1
   -0.303047524009829E-01   -0.337283160670356E-01    0.243696716968975E-01
   -0.973113427660410E-03   -0.751788622730062E-02    0.619696269222654E-02
    0.229885482511205E-02    0.308449242865939E-02    0.520875249384732E-02
         7         2         1
   -0.329730558061319E-01   -0.313477020392853E-01   -0.370374782064670E-01
   -0.640923952605152E-02    0.568819685803669E-02   -0.131080738330597E-01
    0.708582224629644E-03    0.683729632847349E-02    0.244270311452833E-02
         8         2         1
   -0.321722658007266E-01    0.294611475522879E-01   -0.353960378930547E-01
   -0.178650247333695E-02    0.509847835754115E-02   -0.759835392522955E-02
   -0.751746667052916E-02    0.346836174614814E-02   -0.734443618786383E-02
         9         2         1
   -0.301710623456398E-01    0.326656415072944E-01   -0.233987861793287E-01
   -0.517156284895941E-02   -0.101731006943206E-02    0.257919035789342E-02
   -0.466833779525612E-03    0.333204566006467E-02   -0.177113159926750E-02
        10         2         1
   -0.333288967759944E-01    0.302383249901864E-01    0.319521526819748E-01
   -0.573457381267442E-02    0.687649042235646E-02    0.600596312679488E-02
   -0.741456717771864E-02   -0.745431173446756E-02    0.318613095419494E-02
         1         3         1
   -0.257434247252989E-01    0.213102387325447E-01    0.336866260872562E-01
   -0.550176163189541E-02    0.171636646761512E-02    0.118560072374339E-01
   -0.286189082512105E-02    0.227866771632234E-03    0.141158162552350E-01
         2         3         1
   -0.223924605555903E-01    0.334340790698744E-01    0.233765038899720E-01
    0.809959935788672E-02    0.437482357781241E-02    0.386592626236282E-02
    0.201601984391063E-02   -0.123910078837462E-01    0.674389480240307E-02
         3         3         1
   -0.323733309084821E-01    0.397584787418376E-01    0.327595755460226E-01
   -0.106000984040310E-01    0.799345925340478E-02    0.128534179340998E-01
    0.536612618183465E-02    0.396425951134366E-02    0.104603383555072E-02
         4         3         1
   -0.304400698512449E-01    0.224404693741523E-01    0.352416438602587E-01
   -0.266406398951667E-02    0.100155075486128E-01    0.154049815816886E-01
    0.714095269927458E-02    0.751702787592732E-03   -0.729363286963601E-02
         5         3         1
   -0.354408761440469E-01   -0.220122346298687E-01    0.232707693003841E-01
   -0.322259129723870E-02    0.316153017598839E-03    0.160622905773972E-02
    0.630656401405017E-02    0.456314263172642E-02   -0.248311876607128E-03
         6         3         1
   -0.260914838199744E-01   -0.286773600633183E-01    0.366558192802770E-01
   -0.301848136201744E-02   -0.232371028387291E-02    0.973830017153047E-02
    0.262977128768766E-02    0.546685773162241E-03   -0.304124316882968E-02
         7         3         1
   -0.317252647684299E-01   -0.316985696502907E-01   -0.289548757972085E-01
   -0.104590648292735E-02    0.276239709940136E-02   -0.864341028989591E-02
    0.371878999606991E-02    0.118346997289807E-01   -0.803034347385473E-02
         8         3         1
   -0.205267900901331E-01    0.274627794987359E-01   -0.308263346889032E-01
    0.320383139021093E-02    0.432396743476234E-02   -0.604319676865271E-02
    0.235048645873415E-02    0.218980644590821E-02   -0.632704077509680E-02
         9         3         1
   -0.278374972103285E-01    0.309344194808522E-01    0.295542710422410E-01
   -0.833022723055574E-02    0.154059190580990E-01    0.707831223223849E-02
   -0.143769559457434E-02    0.839883128187302E-02    0.712468222914114E-02
        10         3         1
   -0.208073215823108E-01    0.287667267186290E-01    0.346419205327635E-01
   -0.757065272724644E-02    0.972186589620812E-02    0.870369084902167E-02
    0.414032023123537E-02   -0.589923652047084E-02    0.521447131088364E-03
         1         4         1
   -0.206905093496804E-01    0.350506778477224E-01    0.379702166750466E-01
    0.654790242143664E-02    0.807279059633672E-02    0.283934414885222E-02
   -0.683034841956121E-02   -0.313847872461439E-02    0.108221490754297E-01
         2         4         1
   -0.287655714941534E-01    0.244259431543084E-01    0.186582421695205E-01
   -0.900373937745590E-02   -0.671342307488237E-03    0.248927764461935E-02
   -0.792233560880451E-02   -0.807983178399118E-02   -0.892499884555114E-03
         3         4         1
   -0.318951831662143E-01    0.317069880115317E-01    0.260279171433049E-01
   -0.488358169664633E-03    0.839715896591681E-02   -0.345337669273884E-02
   -0.418528040758084E-02    0.173803855201222E-02    0.474527315589161E-02
         4         4         1
   -0.285573072639589E-01    0.288680866661591E-01    0.259236744874011E-01
    0.401195292594039E-02    0.409068411638430E-02    0.376571608902205E-02
    0.188961523147594E-02    0.223059972967238E-02   -0.295499803899074E-03
         5         4         1
   -0.331076538550049E-01   -0.223094818128032E-01    0.323808896706910E-01
   -0.424466666386904E-02   -0.112516825442677E-02    0.519189321544390E-02
    0.289018978030941E-02   -0.409460702191552E-02    0.875712348634663E-02
         6         4         1
   -0.156517728746615E-01   -0.292592428931142E-01    0.288799813135288E-01
   -0.981763943174144E-02   -0.884063175294929E-02    0.580423718997298E-02
   -0.277625131768989E-02   -0.817320886264552E-02   -0.227017359639839E-02
         7         4         1
   -0.174801761377406E-01   -0.243111055399653E-01    0.265994474911073E-01
   -0.116588154507845E-01   -0.401695483003026E-02   -0.396906640076680E-02
   -0.288937599608057E-04    0.850429552973657E-02    0.532311704117631E-03
         8         4         1
   -0.188061112196448E-01    0.123549074710347E-01    0.451245552581041E-01
   -0.117549757302476E-01    0.282406095118475E-02    0.109653461208876E-01
    0.576474235814581E-03    0.541395169154192E-02    0.237903475847518E-02
         9         4         1
   -0.172097627019450E-01    0.315245057776829E-01    0.230454113792210E-01
