   -0.207456556550618E-07    0.286578680076711E-07    0.183900183992056E-07
   -0.710712723931147E-08   -0.964107841445678E-08   -0.316958901217876E-07
         1         1         1
   -0.153461664430496E-04   -0.145641236326487E-04   -0.452662662355639E-05
    0.622186464850328E-05    0.172607482459252E-04    0.126099508858066E-04
   -0.129213454945518E-05    0.335029466572708E-05    0.238936740296594E-05
         2         1         1
    0.102111367209731E-04   -0.475600497554896E-05    0.113925097463439E-04
   -0.152861061318443E-04    0.144735763706891E-04    0.749164192805919E-05
    0.180844582675448E-05   -0.142760630301599E-05   -0.340597266576376E-05
         3         1         1
    0.125282940752636E-04   -0.123488059418102E-04   -0.141088657983839E-04
   -0.154685173897070E-04    0.219259666112353E-05    0.158963142610040E-04
   -0.330934379190164E-05    0.332281804623739E-05   -0.307894599866893E-05
         4         1         1
    0.422837645361447E-05    0.108126744333689E-04   -0.116300182836526E-04
    0.184356419526183E-04    0.103719940647072E-04   -0.179048527746043E-04
   -0.257751161001637E-05    0.396712223116164E-05    0.206182238237980E-05
         5         1         1
   -0.865604991084895E-05    0.488906455747500E-05    0.119756648686723E-05
   -0.743153098920021E-06    0.126449243418080E-04   -0.176903239354534E-04
    0.378772160351113E-05    0.790618468837798E-06    0.216570975990946E-05
         6         1         1
   -0.169370093652206E-05    0.643020448234396E-05    0.903970022034429E-05
   -0.228495370769699E-05   -0.108564431175676E-04    0.861488212352846E-05
    0.127390656882827E-05    0.184929220242142E-05   -0.214962986033250E-05
         7         1         1
   -0.588521227149331E-05   -0.727442885456970E-05    0.774355642456190E-05
    0.185612997890796E-05    0.509648929487512E-05    0.488351108725887E-05
   -0.538437322222812E-07   -0.103177796520795E-06   -0.284055414369730E-05
         8         1         1
    0.107106199932347E-05   -0.938703984303367E-05    0.143611179134503E-04
    0.332612393501239E-05   -0.179809587659707E-04   -0.692051596935169E-05
    0.400674644901598E-06    0.149363373673661E-05   -0.366099887264420E-05
         9         1         1
   -0.719257189068989E-05   -0.120068359648449E-05    0.103571368570316E-04
   -0.101034815924605E-04    0.460413421348859E-05   -0.169434487949066E-04
    0.167038029836605E-06    0.252976014593901E-05   -0.121514692928083E-05
        10         1         1
    0.120291956859600E-04    0.622487754566520E-05    0.755132262600190E-05
   -0.898076970144068E-05    0.638533628905550E-05    0.577678693102560E-05
    0.336878403532304E-05    0.378470883155736E-05    0.987807361785077E-07
         1         2         1
   -0.215458031014764E-05   -0.561315242249376E-05    0.318231506748629E-05
   -0.123491426046521E-04    0.158964636429232E-04    0.132572782955438E-05
    0.280191448920878E-06    0.628288071573094E-06   -0.920530372279846E-06
         2         2         1
   -0.365503498561472E-06   -0.943396054794924E-05    0.315475937998424E-05
    0.518368148676151E-05   -0.828231812640200E-06    0.919207919186153E-05
    0.123570873627530E-05    0.381278193841179E-05    0.311480249557896E-05
         3         2         1
    0.871342632052610E-05    0.146640312563975E-04    0.442107226322219E-05
   -0.717655420081014E-05   -0.977766975007766E-05   -0.807089536713185E-05
    0.339934243808071E-05   -0.204939319752121E-05    0.146104754294771E-05
         4         2         1
    0.147613973977625E-05   -0.747253863729291E-05   -0.100618963905007E-04
    0.128171596984754E-04    0.136735115812141E-04   -0.164041071895775E-05
    0.824489907218098E-06    0.113440024578088E-05   -0.231581663063836E-05
         5         2         1
   -0.125668847607213E-04    0.634495634079488E-05   -0.746830351696582E-05
   -0.765288455639297E-05   -0.451383522136920E-05   -0.128672040994654E-04
    0.284804179876354E-05    0.371610812254824E-05   -0.232371997881280E-05
         6         2         1
    0.528356109298021E-05   -0.916186554003187E-05    0.141245590385210E-04
    0.378850001277209E-05    0.882101969460503E-05    0.157802067737629E-04
   -0.115429692068506E-05    0.383638475185241E-05    0.221534193490399E-05
         7         2         1
    0.212598786333717E-05   -0.975917227685099E-05    0.407191804019065E-05
    0.115293646959978E-04   -0.128699802841494E-04    0.368701515118312E-05
    0.121927168116767E-05   -0.831473334687011E-06    0.255746852369865E-05
         8         2         1
    0.137591642896363E-05    0.148005098858668E-04    0.131675145155026E-04
    0.116349760985808E-04   -0.166229939415896E-04   -0.111365058879840E-04
    0.100655126856673E-05   -0.294358979635426E-05   -0.252040866097372E-05
         9         2         1
    0.569882459345440E-06   -0.892630549279797E-05   -0.714004163760540E-05
   -0.160486941465146E-04   -0.178793095078960E-04    0.113820294271364E-04
    0.308272046181821E-06    0.355011837416625E-05    0.179497455987206E-05
        10         2         1
    0.124166184401452E-05    0.844383652842571E-05   -0.140232880205419E-04
   -0.926425879595358E-05    0.428273868455609E-05   -0.531136180270117E-05
   -0.217371647185634E-05    0.331691742515959E-05   -0.221091117629699E-05
         1         3         1
    0.139723347306750E-04    0.112286373176092E-04    0.593611362334901E-05
   -0.974557176583652E-05   -0.452140683297056E-05    0.151351831800296E-04
   -0.871986370988524E-06    0.459329836390529E-06    0.184697590234283E-05
         2         3         1
    0.123651716319812E-04   -0.520276371312090E-05   -0.106253191633321E-04
    0.123120401698972E-04    0.440311923066011E-05    0.109775707294884E-04
   -0.350206109018765E-05    0.198144338293460E-05    0.882070585780089E-06
         3         3         1
    0.136948711989749E-04   -0.895988558940697E-05    0.119706906035596E-04
   -0.799633194456487E-06   -0.599655260799377E-05    0.141924384357995E-04
    0.111377595675214E-05    0.153791442062998E-06    0.991965298266904E-06
         4         3         1
    0.183461803635196E-05   -0.567236204101361E-05    0.113733533385094E-04
   -0.108245926914175E-04   -0.137195436039898E-04   -0.896804639242572E-05
    0.143948776996796E-05   -0.188972948624539E-05    0.280123294959823E-05
         5         3         1
    0.537992431192246E-05   -0.104825011380121E-04   -0.466092518573726E-05
    0.425620535906245E-05   -0.309939967470701E-05    0.110045492672578E-04
   -0.779110046554334E-06    0.470947735384904E-06   -0.113228204854500E-05
         6         3         1
    0.822208607516071E-05   -0.912055575534055E-05    0.802253369059648E-05
    0.132166771716889E-05   -0.170613930149472E-05   -0.112211299293835E-04
    0.194837669320693E-05   -0.148406122563719E-05   -0.222003957304203E-05
         7         3         1
    0.411481803700885E-05   -0.522461453748537E-05    0.812470666344781E-05
   -0.272607209264310E-05   -0.159243871437046E-04    0.684533022337532E-05
    0.364293236752805E-05    0.254829307899780E-05   -0.255545780295303E-05
         8         3         1
   -0.919766039120303E-05   -0.176792745765505E-05    0.120340184318587E-04
    0.109046364047543E-04    0.161658198817388E-04   -0.170942328316040E-04
   -0.210047625351882E-05   -0.161989954773192E-06   -0.145445274766879E-05
         9         3         1
   -0.272764211468252E-05    0.213084233801534E-05    0.116629335479932E-04
    0.144304215381039E-04    0.749719152016645E-05   -0.756239355139992E-05
    0.106416791930868E-06    0.666677381485387E-06   -0.188534555212620E-06
        10         3         1
    0.413622633065282E-05    0.273554529630275E-05    0.441718217193374E-05
   -0.558937005967127E-05    0.211864615399399E-05    0.996854293994588E-05
    0.126428455754921E-05   -0.372966262674482E-05   -0.474104357644419E-06
         1         4         1
    0.143289286664703E-04   -0.132778134431662E-04    0.722664379767322E-05
   -0.604745032238679E-05   -0.161537929014562E-04    0.122651983499247E-04
   -0.679453978324201E-06   -0.333400435226191E-05    0.322283376057531E-05
         2         4         1
   -0.604212930870326E-05   -0.116979215591695E-04   -0.304792253380765E-05
    0.167109530393501E-04   -0.342270396296364E-05    0.365798052040028E-05
    0.184219314620905E-05    0.383632110328949E-05   -0.201053446897590E-05
         3         4         1
   -0.417280002331494E-05   -0.590003740078967E-05    0.142600911356120E-04
   -0.977417119116200E-06   -0.331802936518879E-05   -0.107937689144647E-04
    0.305627128768571E-05   -0.328355187467532E-05    0.276670838925123E-05
         4         4         1
   -0.542256869197439E-05   -0.462994451941121E-05   -0.706202238394339E-05
    0.176714841953870E-04    0.165456289831537E-04    0.139308572429441E-04
   -0.214436781959358E-06   -0.674643988171849E-06    0.195124229950553E-05
         5         4         1
    0.924857198345056E-06    0.202605569980703E-05   -0.119046354008182E-04
   -0.149069623753451E-04   -0.161846204363904E-05    0.618870299070580E-05
    0.982988475091371E-06   -0.315373236982095E-05    0.291816094764193E-05
         6         4         1
    0.718952718557574E-05    0.900052459625677E-05   -0.761425004282071E-05
    0.147341371284683E-04   -0.154900472193704E-04    0.101267611659050E-04
   -0.356152443277132E-05   -0.192251707051804E-06   -0.919741846950754E-06
         7         4         1
    0.119401030453777E-04   -0.611325218351197E-05   -0.837996392269968E-05
   -0.170180239427222E-04    0.137341881873607E-04    0.101331873483331E-04
    0.738503201548192E-06    0.341606453636202E-05   -0.329160675566147E-05
         8         4         1
    0.744989059161298E-05   -0.107534825229382E-04    0.142158396142712E-05
   -0.130444742482215E-04   -0.173687933795689E-04   -0.619028509207774E-05
   -0.301930000329646E-05   -0.156307176236037E-05   -0.349444241902140E-06
         9         4         1
   -0.117903869975965E-04   -0.283506935912589E-05   -0.108270424967337E-04
   -0.162497267128760E-04   -0.108542873729625E-04    0.136250406894452E-04
   -0.337543812625854E-05    0.237226271114391E-07    0.376016627825493E-05
        10         4         1
   -0.302694029192797E-05   -0.908899762522769E-05    0.128519269972484E-04
    0.145974839513120E-04    0.229103740178574E-05   -0.327280144622516E-05
    0.186045673567877E-05   -0.295617944448434E-05    0.374984844763408E-05
         1         5         1
   -0.103325657471773E-04   -0.285454754251959E-05   -0.330060165107278E-06
   -0.475998345328132E-05    0.120873546967984E-04   -0.921956225378429E-05
    0.346727663834891E-05    0.216661924987851E-06    0.190967811695645E-05
         2         5         1
    0.426766663002975E-05   -0.143646221284696E-04   -0.110286982278258E-04
    0.164315010233153E-04   -0.110848188934088E-04    0.133093488905984E-04
   -0.214135351407041E-05    0.843787757736237E-06    0.278613228283623E-05
         3         5         1
    0.172257069572364E-05    0.598258114982304E-05   -0.747799976051812E-05
    0.537553062345834E-05    0.143949671820245E-04    0.161060175920307E-04
   -0.312025429532876E-05    0.263077311342511E-05    0.285508010039358E-05
         4         5         1
   -0.170273802897288E-06    0.590917554654438E-05    0.178047471784402E-05
    0.111170793994846E-04    0.640536738724680E-05   -0.712666082205947E-06
    0.238083235101832E-05    0.255399529653160E-05   -0.198196117223301E-05
         5         5         1
   -0.122352996490149E-04    0.639081844785478E-05    0.172447460829246E-05
   -0.562729836502026E-05   -0.540883307102426E-05   -0.106404632290423E-04
   -0.187934829543325E-05    0.296486821420356E-05   -0.207748904632038E-05
         6         5         1
   -0.962169570580543E-05   -0.835206104803029E-05   -0.427396344928862E-05
    0.872468625270358E-05   -0.654122498331050E-05    0.739499260744924E-05
   -0.765749848624070E-06   -0.333840105343360E-06   -0.112722808211230E-05
         7         5         1
    0.100623567579404E-04    0.805072249587964E-05    0.505613428960243E-05
    0.141138466223732E-04    0.128444740418001E-04    0.181773507203505E-04
    0.119120303745261E-05    0.284560177345586E-05    0.322452402451434E-05
         8         5         1
    0.106304348716280E-04   -0.900439500712665E-05    0.435938518442131E-05
   -0.135312230293053E-04   -0.114549475569681E-04    0.173966659523289E-04
   -0.109578617986285E-05   -0.250621516218368E-05   -0.366107054328420E-05
         9         5         1
   -0.744503876814909E-07    0.144701409725798E-04    0.418010040100150E-05
    0.143062051781456E-04    0.129235120569013E-04    0.470789179443906E-05
   -0.343402170233249E-05   -0.121205780443070E-05   -0.144837658849844E-05
        10         5         1
   -0.115467408280317E-04    0.124718425880931E-04   -0.757905146402815E-05
   -0.124841023643493E-04   -0.829654107817741E-05    0.181391233387213E-04
    0.580268486951533E-06    0.533781869403216E-06    0.800412705749823E-06
         1         6         1
    0.815101693918574E-05    0.107445407097257E-04    0.409727846775001E-05
    0.280424545964520E-05   -0.133686868222887E-04    0.145193048214935E-04
   -0.319659078586157E-05    0.371998194306453E-05   -0.841136153859888E-06
         2         6         1
    0.142683594840414E-04   -0.946683923844000E-05    0.404058751404781E-05
   -0.179264889473226E-05   -0.157588111465527E-05    0.153791539179124E-04
    0.737244643264248E-06   -0.340736510068007E-05   -0.309197687188913E-05
         3         6         1
   -0.142103606114533E-06    0.322985945730257E-05   -0.130043966886148E-04
   -0.993633354414946E-06    0.123486588925975E-04   -0.141941670376824E-04
   -0.352295527353299E-05    0.167566592492303E-05    0.323436149981423E-05
         4         6         1
   -0.566339014262959E-05   -0.135402352323348E-04   -0.123064182647351E-04
    0.172348056264613E-04   -0.156541442122817E-04   -0.474596583655241E-05
    0.240203364464746E-05    0.325098588688551E-05   -0.270437379854486E-06
         5         6         1
    0.100442876182011E-04   -0.549996406064429E-05   -0.680320637047295E-05
   -0.567583512994544E-05   -0.118078358008503E-04   -0.722917275811350E-05
   -0.266021219369463E-05    0.287786007532540E-05    0.294032700635319E-05
         6         6         1
    0.221559794028561E-05   -0.392413337466936E-05   -0.110545865679654E-04
    0.178896063935180E-04    0.626275616101894E-06    0.124085227246704E-05
   -0.281335944661247E-05   -0.110960093794435E-06   -0.147025812750005E-05
         7         6         1
    0.118560201218172E-04    0.686697417118095E-05    0.823809325870791E-05
   -0.904852141437610E-05   -0.620805544784506E-05    0.739728867315994E-05
   -0.258332770270663E-05   -0.117446715413965E-05    0.132729988229118E-05
         8         6         1
    0.120728491198069E-05   -0.226249483432438E-05    0.101286828272715E-04
    0.156851717013194E-04    0.174120048856337E-04    0.149985833696764E-05
    0.181239537235101E-05    0.371714200118808E-05    0.445622707670852E-06
         9         6         1
   -0.892977746451701E-05    0.568060020422564E-05    0.215927665544901E-05
    0.871598157073982E-05   -0.140548163070405E-04   -0.571794472304337E-05
    0.221797641728436E-05    0.835781219529902E-07    0.263604602016510E-05
        10         6         1
   -0.125669397001034E-04    0.109629051305289E-04   -0.576591054561638E-05
   -0.414361782432506E-05   -0.385418395084061E-05   -0.427886869303529E-05
   -0.349608140673344E-06    0.229237403085170E-05    0.205442725702133E-05
         1         7         1
    0.138052475905956E-04   -0.425984558593013E-05   -0.148518301147809E-04
    0.150863294081337E-04    0.576222267992543E-05    0.644032128091694E-05
   -0.330941028689137E-05   -0.250167762871798E-05    0.809889249066587E-06
         2         7         1
   -0.349051116646598E-05    0.219481431770711E-05    0.616386774052992E-06
    0.268680710899391E-05    0.178021025582459E-04    0.995313358572004E-05
    0.271247339063551E-05   -0.198180310385173E-05    0.367697415247284E-05
         3         7         1
   -0.588139721448069E-05   -0.725256892604643E-05    0.131372629179309E-05
   -0.100598867723215E-04    0.811624194456619E-05    0.173403486737111E-04
    0.828172543336410E-06    0.691928825804023E-06    0.120147602646733E-05
         4         7         1
    0.881071763485305E-05   -0.866236082225937E-05    0.192681169348584E-05
   -0.142566785280139E-04    0.163101962915823E-04    0.114968714033872E-04
